,side,result,golddiffat10,xpdiffat10,golddiffat15,xpdiffat15
142,Blue,0,-164.0,-1778.0,722.0,-786.0
144,Blue,1,-203.0,-92.0,-46.0,1109.0
146,Blue,0,361.0,150.0,-1582.0,-3153.0
148,Blue,1,46.0,-227.0,1458.0,-618.0
150,Blue,0,545.0,-53.0,967.0,-1164.0
152,Blue,1,1380.0,898.0,3503.0,1726.0
154,Blue,1,467.0,528.0,2092.0,793.0
156,Blue,1,1366.0,708.0,-723.0,-337.0
158,Blue,1,1197.0,664.0,4277.0,2479.0
160,Blue,0,-725.0,-92.0,-1102.0,-1008.0
162,Blue,1,-50.0,-978.0,415.0,-125.0
164,Blue,0,404.0,915.0,2865.0,954.0
166,Blue,0,59.0,216.0,134.0,-1270.0
168,Blue,1,1878.0,519.0,3163.0,2459.0
170,Blue,0,-3798.0,-2744.0,-4819.0,-1820.0
172,Blue,1,806.0,-466.0,3081.0,886.0
174,Blue,0,-454.0,208.0,-259.0,-427.0
176,Blue,0,943.0,58.0,3268.0,1512.0
178,Blue,1,311.0,29.0,-76.0,809.0
180,Blue,1,-1152.0,-367.0,-946.0,397.0
182,Blue,1,1106.0,274.0,2794.0,1738.0
184,Blue,0,574.0,-1801.0,2392.0,283.0
186,Blue,0,-329.0,420.0,-495.0,-357.0
188,Blue,1,212.0,702.0,1114.0,1742.0
190,Blue,1,852.0,-802.0,1713.0,-629.0
192,Blue,1,223.0,-277.0,645.0,658.0
194,Blue,0,1062.0,1586.0,694.0,1052.0
196,Blue,0,-301.0,364.0,-54.0,-312.0
198,Blue,0,-645.0,27.0,-2292.0,-288.0
200,Blue,1,1141.0,581.0,3391.0,1965.0
202,Blue,0,-926.0,-1038.0,-1410.0,-2212.0
204,Blue,1,309.0,731.0,1342.0,387.0
206,Blue,0,-1901.0,-899.0,-2559.0,-1951.0
208,Blue,1,-171.0,-86.0,3612.0,2419.0
210,Blue,0,-3.0,-126.0,-628.0,-1568.0
212,Blue,1,488.0,374.0,583.0,555.0
214,Blue,0,101.0,-51.0,1135.0,-247.0
216,Blue,0,-2317.0,-1120.0,-2793.0,-1063.0
218,Blue,0,-809.0,-160.0,-1831.0,-936.0
220,Blue,0,-14.0,381.0,2186.0,1192.0
222,Blue,0,-1943.0,-836.0,-1829.0,-1733.0
224,Blue,0,-2139.0,-1131.0,-5480.0,-3990.0
226,Blue,0,1697.0,1718.0,2835.0,1577.0
228,Blue,1,4162.0,3162.0,8179.0,6674.0
230,Blue,0,-723.0,-726.0,-3367.0,-4126.0
232,Blue,1,1939.0,1015.0,3591.0,1929.0
234,Blue,0,213.0,242.0,-2281.0,-1375.0
236,Blue,0,-2145.0,-2159.0,-5503.0,-5219.0
238,Blue,1,2728.0,1332.0,3020.0,639.0
240,Blue,0,-2946.0,-1799.0,-4841.0,-3815.0
242,Blue,0,-884.0,-1270.0,-421.0,-1755.0
244,Blue,1,141.0,716.0,-885.0,-85.0
246,Blue,1,-5.0,731.0,650.0,-450.0
248,Blue,1,395.0,1372.0,1256.0,2521.0
250,Blue,1,-546.0,624.0,-101.0,-927.0
252,Blue,0,-494.0,-883.0,1640.0,327.0
254,Blue,1,-523.0,-265.0,-949.0,-1282.0
256,Blue,0,-257.0,-142.0,0.0,118.0
258,Blue,1,1335.0,1053.0,4437.0,2790.0
260,Blue,1,-329.0,716.0,-1742.0,-1442.0
262,Blue,0,-3478.0,-1920.0,-7231.0,-4260.0
264,Blue,1,279.0,-889.0,2040.0,129.0
266,Blue,1,2442.0,1989.0,6390.0,5636.0
268,Blue,1,1469.0,324.0,2940.0,869.0
270,Blue,1,728.0,1364.0,1910.0,2522.0
272,Blue,1,1883.0,1436.0,4911.0,2652.0
274,Blue,0,-2974.0,-2547.0,-5102.0,-3640.0
276,Blue,0,-1015.0,-617.0,-595.0,114.0
278,Blue,0,491.0,144.0,781.0,-1107.0
280,Blue,0,765.0,222.0,-141.0,-1502.0
282,Blue,0,588.0,382.0,-1264.0,-965.0
284,Blue,0,1285.0,-735.0,133.0,-2534.0
286,Blue,1,527.0,63.0,1969.0,2500.0
288,Blue,1,-413.0,-707.0,-289.0,-1148.0
290,Blue,0,741.0,-86.0,310.0,-1468.0
292,Blue,1,1680.0,946.0,5420.0,3611.0
294,Blue,1,40.0,-758.0,808.0,-295.0
296,Blue,0,159.0,-368.0,-844.0,-1374.0
298,Blue,1,822.0,562.0,135.0,-2052.0
300,Blue,1,2523.0,1943.0,5144.0,3859.0
302,Blue,0,226.0,704.0,123.0,1043.0
304,Blue,0,-2811.0,-1639.0,-2995.0,-832.0
306,Blue,1,-1741.0,-1656.0,-2563.0,332.0
308,Blue,0,-621.0,69.0,-2914.0,-1637.0
310,Blue,0,-602.0,-1290.0,-832.0,-1835.0
312,Blue,1,1700.0,1486.0,2986.0,528.0
314,Blue,0,-359.0,-942.0,-1387.0,-1846.0
316,Blue,1,1008.0,39.0,2502.0,1193.0
318,Blue,0,-2180.0,-2430.0,-5444.0,-2816.0
320,Blue,1,634.0,765.0,753.0,2449.0
322,Blue,1,805.0,733.0,1748.0,105.0
324,Blue,1,-150.0,-674.0,-1358.0,-261.0
326,Blue,1,-2722.0,-1234.0,-2403.0,-70.0
328,Blue,1,389.0,416.0,3408.0,1942.0
330,Blue,1,1662.0,1889.0,2889.0,947.0
332,Blue,0,-326.0,495.0,-592.0,-1.0
334,Blue,0,-1759.0,-1417.0,-1923.0,-1763.0
336,Blue,1,-26.0,848.0,484.0,93.0
338,Blue,1,1474.0,1077.0,3674.0,2113.0
340,Blue,0,-55.0,280.0,-1224.0,283.0
342,Blue,1,1667.0,1342.0,1629.0,1149.0
344,Blue,1,1321.0,1133.0,-1.0,434.0
346,Blue,0,-665.0,15.0,-1174.0,-1944.0
348,Blue,0,813.0,241.0,291.0,-889.0
350,Blue,1,1670.0,816.0,3918.0,1428.0
352,Blue,0,-706.0,-1603.0,-1306.0,-2029.0
354,Blue,1,1745.0,770.0,1968.0,1751.0
356,Blue,1,-1009.0,-951.0,715.0,-1808.0
358,Blue,1,1177.0,337.0,2942.0,1934.0
360,Blue,1,1319.0,272.0,307.0,263.0
362,Blue,1,997.0,36.0,1757.0,-740.0
364,Blue,0,-1255.0,-748.0,-2984.0,-1746.0
366,Blue,1,-803.0,-499.0,762.0,-917.0
368,Blue,1,1264.0,1229.0,555.0,291.0
370,Blue,0,935.0,202.0,1552.0,412.0
372,Blue,1,1897.0,1383.0,2776.0,1138.0
374,Blue,0,560.0,588.0,-393.0,1404.0
376,Blue,1,1860.0,1259.0,8116.0,4830.0
378,Blue,1,1110.0,818.0,1596.0,1778.0
380,Blue,0,1495.0,875.0,1245.0,-1050.0
382,Blue,0,335.0,-1019.0,-3191.0,-3668.0
384,Blue,0,1109.0,-134.0,-744.0,-1094.0
386,Blue,1,-570.0,-413.0,1511.0,1599.0
388,Blue,1,2897.0,2034.0,4944.0,2256.0
390,Blue,1,1248.0,993.0,3409.0,2217.0
392,Blue,0,-1854.0,-2417.0,-2632.0,-3334.0
394,Blue,0,-1178.0,-1320.0,-1631.0,-3121.0
396,Blue,0,91.0,540.0,-805.0,-180.0
398,Blue,1,2629.0,2487.0,4167.0,4512.0
400,Blue,0,-56.0,658.0,1209.0,2236.0
402,Blue,0,108.0,600.0,455.0,-535.0
404,Blue,1,1336.0,400.0,2759.0,1281.0
406,Blue,1,-806.0,962.0,-98.0,301.0
408,Blue,1,612.0,554.0,2176.0,1363.0
410,Blue,0,-839.0,-1208.0,-935.0,-534.0
412,Blue,0,-526.0,275.0,-2797.0,-1424.0
414,Blue,0,-3096.0,-61.0,-3930.0,-1273.0
416,Blue,1,1056.0,1690.0,5212.0,3752.0
418,Blue,0,246.0,55.0,-393.0,-412.0
420,Blue,1,658.0,1256.0,1466.0,648.0
422,Blue,0,-473.0,-489.0,-958.0,-702.0
424,Blue,0,1166.0,648.0,3389.0,2258.0
426,Blue,1,489.0,-401.0,-321.0,-1364.0
428,Blue,0,-1278.0,-164.0,1283.0,3301.0
430,Blue,0,-1161.0,-260.0,-3430.0,-811.0
432,Blue,0,1673.0,-340.0,-15.0,-2021.0
434,Blue,0,-257.0,59.0,-1410.0,-181.0
436,Blue,1,-1094.0,-483.0,-1418.0,-478.0
438,Blue,1,870.0,653.0,711.0,410.0
440,Blue,1,338.0,-26.0,2020.0,1756.0
442,Blue,1,2467.0,1403.0,5639.0,3340.0
444,Blue,0,495.0,70.0,-553.0,-524.0
446,Blue,0,-2243.0,-1816.0,-5367.0,-3415.0
448,Blue,1,238.0,-213.0,3433.0,2277.0
450,Blue,0,-1168.0,-1045.0,-1514.0,-542.0
452,Blue,1,1281.0,966.0,2527.0,1877.0
454,Blue,1,1497.0,-185.0,604.0,297.0
456,Blue,1,-320.0,-486.0,-1826.0,-1491.0
458,Blue,1,695.0,236.0,1952.0,1142.0
460,Blue,1,-575.0,-560.0,-412.0,255.0
462,Blue,0,-1019.0,-1549.0,-4051.0,-3800.0
464,Blue,1,-66.0,-394.0,7686.0,5448.0
466,Blue,0,-960.0,-1929.0,-2415.0,-2324.0
468,Blue,1,-456.0,-392.0,-487.0,-1162.0
470,Blue,0,932.0,708.0,1767.0,792.0
472,Blue,1,463.0,152.0,1642.0,3017.0
474,Blue,1,3017.0,1574.0,4299.0,1805.0
476,Blue,0,-696.0,-2077.0,-2577.0,-3051.0
478,Blue,1,-778.0,333.0,1196.0,667.0
480,Blue,1,456.0,107.0,784.0,843.0
482,Blue,0,-2623.0,-1577.0,-3769.0,-3325.0
484,Blue,1,-761.0,468.0,-1235.0,-2361.0
486,Blue,1,1753.0,442.0,3238.0,1205.0
488,Blue,1,559.0,-299.0,1527.0,701.0
490,Blue,0,-969.0,-241.0,-2352.0,-1324.0
492,Blue,1,-1019.0,706.0,1358.0,1188.0
494,Blue,0,183.0,110.0,-3428.0,-2886.0
496,Blue,0,-2421.0,-1697.0,-4333.0,-867.0
498,Blue,1,-726.0,-20.0,564.0,689.0
500,Blue,1,600.0,1012.0,441.0,1319.0
502,Blue,1,287.0,1345.0,4710.0,4398.0
504,Blue,0,-1151.0,-564.0,-1295.0,-1783.0
506,Blue,1,1520.0,2066.0,6202.0,5265.0
508,Blue,1,897.0,992.0,1632.0,1311.0
510,Blue,1,3316.0,2710.0,6778.0,4839.0
512,Blue,0,188.0,740.0,-1257.0,-2313.0
514,Blue,1,-1033.0,-482.0,-505.0,1207.0
516,Blue,0,-813.0,-378.0,-168.0,-341.0
518,Blue,0,-729.0,34.0,1001.0,552.0
520,Blue,0,265.0,581.0,895.0,-396.0
522,Blue,0,-1842.0,-1664.0,-3680.0,-3231.0
524,Blue,0,173.0,-220.0,1201.0,-217.0
526,Blue,1,2725.0,2022.0,3440.0,2201.0
528,Blue,1,352.0,-12.0,2809.0,1937.0
530,Blue,1,2004.0,1965.0,3355.0,2001.0
532,Blue,0,543.0,-102.0,-1134.0,-1908.0
534,Blue,1,944.0,407.0,4066.0,2960.0
536,Blue,0,-1665.0,-665.0,-5221.0,-5850.0
538,Blue,1,-1681.0,149.0,-1476.0,-755.0
540,Blue,1,3354.0,1703.0,5805.0,2459.0
542,Blue,0,-362.0,-177.0,194.0,-480.0
544,Blue,0,-397.0,230.0,-1135.0,1324.0
546,Blue,1,-305.0,385.0,1499.0,1200.0
548,Blue,1,804.0,271.0,3546.0,2559.0
550,Blue,1,446.0,773.0,-171.0,-156.0
552,Blue,0,697.0,-20.0,-1465.0,-827.0
554,Blue,1,1404.0,1333.0,1953.0,948.0
556,Blue,0,377.0,437.0,419.0,1065.0
558,Blue,1,-351.0,-1100.0,18.0,-98.0
560,Blue,0,112.0,-345.0,479.0,-290.0
562,Blue,0,-603.0,-915.0,-1784.0,-2256.0
564,Blue,1,-1197.0,-542.0,-3492.0,-2243.0
566,Blue,1,3369.0,3353.0,4505.0,2795.0
568,Blue,1,426.0,532.0,2000.0,1145.0
570,Blue,0,-3451.0,-2018.0,-2590.0,1104.0
572,Blue,1,1449.0,1358.0,2824.0,187.0
574,Blue,0,-361.0,602.0,-182.0,860.0
576,Blue,1,2151.0,1373.0,3686.0,643.0
578,Blue,0,-184.0,-410.0,-1065.0,-866.0
580,Blue,0,351.0,282.0,128.0,-2143.0
582,Blue,0,-1779.0,-1146.0,-2906.0,-2014.0
584,Blue,1,-635.0,-949.0,-1289.0,-1687.0
586,Blue,1,-626.0,-360.0,-1218.0,-292.0
588,Blue,0,2253.0,1305.0,3644.0,-740.0
590,Blue,1,568.0,829.0,3081.0,2163.0
592,Blue,1,214.0,-677.0,3380.0,1940.0
594,Blue,1,927.0,345.0,890.0,-1297.0
596,Blue,1,1533.0,133.0,1375.0,85.0
598,Blue,0,337.0,444.0,80.0,809.0
600,Blue,1,1001.0,-223.0,2728.0,1464.0
602,Blue,1,-458.0,-451.0,-544.0,-1779.0
604,Blue,1,740.0,273.0,4197.0,2316.0
606,Blue,1,107.0,-34.0,1058.0,1492.0
608,Blue,1,-405.0,-465.0,-2108.0,-932.0
610,Blue,1,256.0,-274.0,2415.0,1861.0
612,Blue,0,-1024.0,-847.0,-3064.0,-2410.0
614,Blue,0,-673.0,-243.0,-1356.0,338.0
616,Blue,0,-1699.0,-278.0,-1705.0,-64.0
618,Blue,0,420.0,902.0,-3047.0,-709.0
620,Blue,0,-1805.0,-1851.0,-2877.0,-3328.0
622,Blue,0,-1369.0,-1242.0,-1605.0,-1527.0
624,Blue,1,-2211.0,-1360.0,-3297.0,-1763.0
626,Blue,0,-190.0,-863.0,-3289.0,-1877.0
628,Blue,0,-1228.0,-107.0,-1637.0,412.0
630,Blue,0,1035.0,980.0,1349.0,1453.0
632,Blue,1,2500.0,1302.0,2186.0,-504.0
634,Blue,1,2600.0,1846.0,2670.0,1652.0
636,Blue,1,2077.0,1475.0,2148.0,2433.0
638,Blue,0,-1509.0,-763.0,-781.0,978.0
640,Blue,1,-11.0,462.0,-908.0,590.0
642,Blue,1,1468.0,1318.0,1852.0,2973.0
644,Blue,0,-280.0,8.0,-471.0,1444.0
646,Blue,1,1812.0,915.0,3184.0,1420.0
648,Blue,0,-581.0,-958.0,-1594.0,-2727.0
650,Blue,0,-1191.0,-2126.0,-2592.0,-2344.0
652,Blue,0,-363.0,747.0,-1892.0,-478.0
654,Blue,0,13.0,152.0,-816.0,-1332.0
656,Blue,1,-403.0,27.0,-976.0,-313.0
658,Blue,0,11.0,492.0,-2362.0,-2338.0
660,Blue,0,-596.0,-403.0,-561.0,-510.0
662,Blue,1,799.0,1631.0,4307.0,4854.0
664,Blue,0,-767.0,-520.0,794.0,2426.0
666,Blue,0,-1066.0,-1344.0,-3557.0,-3120.0
668,Blue,1,114.0,-578.0,-257.0,-2113.0
670,Blue,0,-408.0,101.0,-2093.0,85.0
672,Blue,0,859.0,1384.0,508.0,1116.0
674,Blue,0,-374.0,-454.0,-1958.0,-1622.0
676,Blue,1,1033.0,1002.0,3004.0,2578.0
678,Blue,1,-1730.0,-705.0,112.0,-875.0
680,Blue,1,-1174.0,-1655.0,-3444.0,-3095.0
682,Blue,1,2709.0,1766.0,3586.0,2982.0
684,Blue,0,491.0,-41.0,-1692.0,-989.0
686,Blue,0,247.0,93.0,917.0,1520.0
688,Blue,1,91.0,321.0,-1849.0,-1352.0
690,Blue,1,3823.0,3215.0,9662.0,7209.0
692,Blue,1,924.0,1033.0,3357.0,2588.0
694,Blue,1,935.0,1539.0,3079.0,2514.0
696,Blue,0,-381.0,-867.0,-4604.0,-4267.0
698,Blue,1,-300.0,-286.0,-1360.0,-1716.0
700,Blue,1,1488.0,1567.0,2409.0,1242.0
702,Blue,1,1696.0,1081.0,2740.0,2071.0
704,Blue,1,563.0,1241.0,121.0,167.0
706,Blue,1,398.0,1052.0,538.0,62.0
708,Blue,0,-925.0,-1640.0,-3286.0,-3608.0
710,Blue,1,2889.0,1521.0,3595.0,38.0
712,Blue,1,-737.0,-575.0,-1097.0,545.0
714,Blue,0,-858.0,-1142.0,-402.0,-953.0
716,Blue,0,521.0,-139.0,-1328.0,128.0
718,Blue,0,-3266.0,-2731.0,-5158.0,-3151.0
720,Blue,0,-523.0,-867.0,-631.0,-1961.0
722,Blue,0,-783.0,11.0,-1163.0,-813.0
724,Blue,1,-842.0,-288.0,-2062.0,-917.0
726,Blue,1,97.0,481.0,869.0,2701.0
728,Blue,0,-371.0,289.0,-937.0,330.0
730,Blue,0,-150.0,-900.0,599.0,577.0
732,Blue,1,2314.0,2236.0,2774.0,1166.0
734,Blue,0,70.0,-220.0,-1634.0,-2957.0
736,Blue,0,-1059.0,-357.0,-2281.0,-3345.0
738,Blue,1,3070.0,1980.0,4111.0,1871.0
740,Blue,0,-1458.0,-916.0,-4209.0,-1304.0
742,Blue,0,-2928.0,-1256.0,-3642.0,-1405.0
744,Blue,0,-1385.0,-2038.0,-4745.0,-3899.0
746,Blue,1,1998.0,1756.0,4543.0,2718.0
748,Blue,0,151.0,-102.0,-237.0,-740.0
750,Blue,1,2336.0,2669.0,6437.0,4787.0
752,Blue,1,-168.0,-494.0,-873.0,-1744.0
754,Blue,1,-320.0,-508.0,-1657.0,-2232.0
756,Blue,1,806.0,670.0,1956.0,944.0
758,Blue,0,-113.0,392.0,-1346.0,-1158.0
760,Blue,1,982.0,1498.0,3723.0,4486.0
762,Blue,1,1594.0,890.0,2406.0,1884.0
764,Blue,1,2879.0,745.0,8836.0,4358.0
766,Blue,0,1251.0,334.0,3097.0,505.0
768,Blue,0,-1257.0,-1497.0,-2393.0,-1689.0
770,Blue,1,152.0,137.0,1370.0,2593.0
772,Blue,0,-2357.0,-1843.0,-3255.0,-2232.0
774,Blue,1,1441.0,-245.0,3323.0,-310.0
776,Blue,1,543.0,452.0,3077.0,-272.0
778,Blue,1,71.0,677.0,2906.0,2503.0
780,Blue,0,-1833.0,-1278.0,-3168.0,-2032.0
782,Blue,0,-422.0,-319.0,-1396.0,-929.0
784,Blue,0,78.0,214.0,-446.0,-912.0
786,Blue,1,516.0,333.0,2629.0,694.0
788,Blue,1,-952.0,-866.0,449.0,974.0
790,Blue,0,-672.0,-741.0,-4639.0,-3377.0
792,Blue,0,107.0,-422.0,462.0,-2944.0
794,Blue,1,-598.0,395.0,-1136.0,98.0
796,Blue,1,-149.0,42.0,4610.0,4122.0
798,Blue,0,427.0,109.0,-1562.0,-803.0
800,Blue,1,958.0,179.0,656.0,1367.0
802,Blue,1,190.0,49.0,1794.0,2284.0
804,Blue,0,1972.0,766.0,3031.0,957.0
806,Blue,1,1102.0,332.0,-541.0,-1353.0
808,Blue,1,1511.0,1501.0,733.0,440.0
810,Blue,1,758.0,143.0,429.0,-172.0
812,Blue,0,-1989.0,-466.0,-4556.0,-2290.0
814,Blue,0,491.0,622.0,1427.0,-405.0
816,Blue,1,373.0,451.0,1530.0,559.0
818,Blue,0,-1878.0,-2273.0,-3564.0,-2898.0
820,Blue,1,718.0,-184.0,1379.0,-1794.0
822,Blue,1,2118.0,2044.0,3197.0,1830.0
824,Blue,1,1004.0,-397.0,-307.0,-3053.0
826,Blue,0,1.0,437.0,-700.0,-297.0
828,Blue,0,-710.0,-673.0,-3286.0,-2541.0
830,Blue,0,-689.0,-1794.0,-1087.0,-1839.0
832,Blue,1,1080.0,990.0,1441.0,2260.0
834,Blue,1,1328.0,907.0,1423.0,1708.0
836,Blue,0,-1920.0,-1922.0,-2642.0,-2236.0
838,Blue,1,650.0,358.0,1731.0,753.0
840,Blue,1,907.0,730.0,1468.0,-100.0
842,Blue,1,1693.0,-382.0,760.0,-904.0
844,Blue,1,-1184.0,-1516.0,-243.0,-461.0
846,Blue,1,-74.0,48.0,-1180.0,-973.0
848,Blue,1,500.0,-12.0,1404.0,555.0
850,Blue,0,-112.0,-613.0,-2089.0,-969.0
852,Blue,0,-1196.0,-509.0,-1577.0,-1882.0
854,Blue,0,-738.0,-370.0,-1190.0,-936.0
856,Blue,1,-921.0,23.0,681.0,971.0
858,Blue,0,997.0,196.0,192.0,602.0
860,Blue,1,-964.0,-722.0,-1405.0,-1581.0
862,Blue,1,172.0,353.0,1039.0,1281.0
864,Blue,0,-1255.0,-170.0,-1830.0,-689.0
866,Blue,0,-802.0,-833.0,-1378.0,-1082.0
868,Blue,1,319.0,664.0,280.0,229.0
870,Blue,1,1529.0,107.0,3015.0,1842.0
872,Blue,1,-472.0,257.0,-1610.0,-1515.0
874,Blue,0,137.0,-36.0,360.0,-278.0
876,Blue,1,-574.0,-626.0,860.0,264.0
878,Blue,0,-790.0,-90.0,-3402.0,-1344.0
880,Blue,0,-690.0,547.0,-226.0,1896.0
882,Blue,0,1402.0,1113.0,3118.0,2283.0
884,Blue,1,521.0,-140.0,1488.0,436.0
886,Blue,0,218.0,-438.0,325.0,-12.0
888,Blue,0,-666.0,-802.0,-459.0,-1233.0
890,Blue,0,-1745.0,-1266.0,-1334.0,365.0
892,Blue,0,15.0,521.0,-1237.0,483.0
894,Blue,0,-976.0,-126.0,446.0,1101.0
896,Blue,0,593.0,680.0,878.0,350.0
898,Blue,1,913.0,495.0,3278.0,1939.0
900,Blue,0,-1200.0,-492.0,678.0,-140.0
902,Blue,1,-1430.0,-1115.0,-1759.0,-924.0
904,Blue,0,-1689.0,-185.0,-668.0,1242.0
906,Blue,1,587.0,342.0,1335.0,1210.0
908,Blue,0,-832.0,-76.0,-1468.0,-880.0
910,Blue,0,237.0,660.0,-366.0,158.0
912,Blue,1,-133.0,527.0,2327.0,1894.0
914,Blue,0,-173.0,496.0,-453.0,398.0
916,Blue,0,-151.0,256.0,-340.0,-546.0
918,Blue,0,-979.0,-1215.0,-2331.0,-2255.0
920,Blue,0,481.0,-647.0,-1318.0,-2067.0
922,Blue,0,-668.0,-1693.0,-688.0,-1196.0
924,Blue,1,485.0,-104.0,2781.0,1521.0
926,Blue,0,-3.0,-126.0,-1253.0,220.0
928,Blue,0,-3155.0,-1360.0,-5408.0,-4122.0
930,Blue,1,-112.0,-49.0,168.0,1111.0
932,Blue,1,195.0,-364.0,565.0,-1069.0
934,Blue,1,710.0,994.0,2991.0,1500.0
936,Blue,0,-1876.0,-1717.0,-2003.0,-607.0
938,Blue,0,-2145.0,-2401.0,-4118.0,-3407.0
940,Blue,1,1794.0,1406.0,3562.0,1677.0
942,Blue,1,721.0,342.0,1513.0,201.0
944,Blue,1,1383.0,1293.0,5148.0,3534.0
946,Blue,1,-540.0,47.0,909.0,-273.0
948,Blue,0,-1964.0,-1521.0,-3831.0,-2801.0
950,Blue,0,-1278.0,-402.0,-3169.0,-556.0
952,Blue,1,-546.0,-1445.0,-1143.0,-2682.0
954,Blue,0,-498.0,-737.0,-2453.0,-1892.0
956,Blue,0,1119.0,1045.0,4712.0,1462.0
958,Blue,0,-808.0,-1500.0,-2812.0,-2574.0
960,Blue,1,786.0,-145.0,2771.0,1677.0
962,Blue,0,-1614.0,-1344.0,-3596.0,-1531.0
964,Blue,0,-378.0,286.0,-2426.0,-987.0
966,Blue,1,1705.0,1482.0,848.0,484.0
968,Blue,0,1029.0,102.0,1414.0,880.0
970,Blue,0,1175.0,-233.0,-893.0,-2751.0
972,Blue,0,395.0,51.0,664.0,457.0
974,Blue,1,318.0,321.0,-214.0,-140.0
976,Blue,1,-924.0,-263.0,-3144.0,-1539.0
978,Blue,0,2413.0,1916.0,2303.0,2231.0
980,Blue,0,-136.0,134.0,-4138.0,-2970.0
982,Blue,0,-328.0,-304.0,-50.0,15.0
984,Blue,0,2210.0,1486.0,3386.0,3637.0
986,Blue,1,1018.0,162.0,2582.0,1644.0
988,Blue,0,-2625.0,-2511.0,-3760.0,-3313.0
990,Blue,1,-1760.0,106.0,-450.0,2321.0
992,Blue,1,947.0,25.0,2490.0,1005.0
994,Blue,1,-149.0,1483.0,1657.0,1828.0
996,Blue,1,2967.0,2227.0,2759.0,1210.0
